Name,Abbr.,Division,Established,Native,Area (km2),Population_1991,Population_2001,Population_2011,Population_2022
Shariatpur,SHA,Dhaka,1984,শরিয়তপুর জেলা,1174,986000,1132535,1201464,1336396
Tangail,TAN,Dhaka,1969,টাঙ্গাইল জেলা,3414,3108000,3443497,3749086,4168083
Jamalpur,JAM,Mymensingh,1978,জামালপুর জেলা,2115,1943000,2205766,2384811,2583984
Mymensingh,MYM,Mymensingh,1787,ময়মনসিংহ জেলা,4395,4097000,4696966,5313163,6097814
Netrakona,NET,Mymensingh,1984,নেত্রকোনা জেলা,2794,1791000,2079716,2317190,2403205
Sherpur,SHE,Mymensingh,1984,শেরপুর জেলা,1365,1179000,1338834,1412601,1552469
Bagerhat,BAG,Khulna,1984,বাগেরহাট জেলা,3959,1489000,1620216,1534012,1649874
Chuadanga,CHU,Khulna,1984,চুয়াডাঙ্গা জেলা,1174,843000,1053936,1174836,1262205
Jessore,JES,Khulna,1781,যশোর জেলা,2607,2193000,2586771,2876380,3146317
Jhenaidah,JHE,Khulna,1984,ঝিনাইদহ জেলা,1965,1420000,1653843,1842573,2051607
Khulna,KHU,Khulna,1882,খুলনা জেলা,4394,2131000,2520962,2407679,2673002
Kushtia,KUS,Khulna,1947,কুষ্টিয়া জেলা,1609,1562000,1820554,2023657,2198731
Magura,MAG,Khulna,1984,মাগুরা জেলা,1039,752000,862777,954804,1056683
Meherpur,MEH,Khulna,1984,মেহেরপুর জেলা,752,511000,618466,681331,721447
Narail,NRA,Khulna,1984,নড়াইল জেলা,968,682000,730568,750425,806662
Satkhira,SAT,Khulna,1984,সাতক্ষীরা জেলা,3817,1660000,1950557,2063610,2246691
Bogra,BOG,Rajshahi,1821,বগুড়া জেলা,2899,2799000,3151389,3539293,3815192
Chapai Nawabganj,NAW,Rajshahi,1984,চাঁপাইনবাবগঞ্জ জেলা,1703,1231000,1492192,1714249,1875290
Jaipurhat,JAI,Rajshahi,1983,জয়পুরহাট জেলা,1012,802000,885909,950440,977150
Naogaon,NAO,Rajshahi,1984,নওগাঁ জেলা,3436,2251000,2500932,2701906,2844921
Natore,NAT,Rajshahi,1984,নাটোর জেলা,1900,1455000,1591944,1774832,1900213
Pabna,PAB,Rajshahi,1832,পাবনা জেলা,2376,2017000,2278141,2624683,2972654
Rajshahi,RJS,Rajshahi,1772,রাজশাহী জেলা,2425,1988000,2410086,2699688,2978156
Sirajganj,SIR,Rajshahi,1984,সিরাজগঞ্জ জেলা,2402,2374000,2818739,3220812,3430443
Dinajpur,DIN,Rangpur,1786,দিনাজপুর জেলা,3444,2371000,2765797,3109626,3392251
Gaibandha,GAI,Rangpur,1984,গাইবান্ধা জেলা,2115,2041000,2235559,2471680,2621756
Kurigram,KUR,Rangpur,1984,কুড়িগ্রাম জেলা,2245,1680000,1873185,2150974,2383268
Lalmonirhat,LAL,Rangpur,1984,লালমনিরহাট জেলা,1247,999000,1160226,1305248,1461589
Nilphamari,NIL,Rangpur,1984,নীলফামারী জেলা,1547,1416000,1644500,1907497,2141180
Panchagarh,PAN,Rangpur,1984,পঞ্চগড় জেলা,1405,746000,874428,1026139,1207252
Rangpur,RGP,Rangpur,1772,রংপুর জেলা,2401,2271000,2660727,2996334,3243247
Thakurgaon,THA,Rangpur,1984,ঠাকুরগাঁও জেলা,1782,1059000,1270081,1444783,1569529
Habiganj,HAB,Sylhet,1984,হবিগঞ্জ জেলা,2637,1612000,1838683,2171065,2440151
Moulvibazar,MAU,Sylhet,1984,মৌলভীবাজার জেলা,2799,1454000,1686631,1994252,2196601
Sunamganj,SUN,Sylhet,1984,সুনামগঞ্জ জেলা,3747,1802000,2107281,2564540,2788358
Sylhet,SYL,Sylhet,1782,সিলেট জেলা,3452,2282000,2675346,3567139,3990003
