"Artist","Title","Year","Sales","Streams","Downloads","Radio Plays","Rating"
"Gnarls Barkley","Crazy","2006","20.983","8.248","5.963","12.739","1.079"
"Blondie","Call Me","1980","20.956","16.632","7.055","8.231","0.524"
"Whitney Houston","I Wanna Dance With Somebody (Who Loves Me)","1987","20.902","7.308","10.093","17.132","0.526"
"Elton John & Kiki Dee","Don't Go Breaking My Heart","1976","20.883","7.387","15.289","10.822","0.667"
"Ace of Base","All That She Wants","1993","20.874","5.464","6.514","17.779","2.743"
"Boney M","Rivers of Babylon","1978","20.873","0.734","14.015","22.288","0.526"
"Michael Jackson","Black Or White","1991","20.863","6.303","8.542","18.088","2.634"
"Simon & Garfunkel","Bridge Over Troubled Water","1970","20.863","20.374","10.542","5.521","0.677"
"Chic","Le Freak","1979","20.857","13.249","11.578","9.643","0.76"
"TLC","No Scrubs","1999","20.818","7.598","8.985","8.196","2.067"
"Nancy Sinatra","These Boots Are Made For Walking","1966","20.799","10.266","13.435","8.624","0.51"
"Ray Charles","I Can't Stop Loving You","1962","20.777","14.412","7.094","3.388","0.75"
"Meat Loaf","I'd Do Anything For Love (But I Won't Do That)","1993","20.751","5.083","10.109","16.79","0.537"
"Chubby Checker","Let's Twist Again","1961","20.744","6.127","4.692","10.669","0.833"
"Percy Faith","Theme From 'A Summer Place'","1960","20.739","15.608","3.649","2.333","1.5"
"LMFAO","Party Rock Anthem","2011","20.722","8.541","7.5","5.05","0"
"James Blunt","You're Beautiful","2005","20.719","7.555","4","14.765","2.373"
"Don McLean","American Pie","1972","20.702","17.712","11.588","4.061","0.51"
"Ben E King","Stand By Me","1961","20.684","14.543","5.36","5.054","0.01"
"Bryan Adams, Rod Stewart & Sting","All For Love","1994","20.622","5.214","6.6","19.349","1.757"
"Pink","So What","2008","20.607","5.255","8.5","11.703","0.518"
"Phil Collins","Another Day in Paradise","1989","20.584","8.667","5.005","20.807","3.033"
"Paul McCartney & Stevie Wonder","Ebony & Ivory","1982","20.497","7.866","8.133","14.855","0.583"
"Lady GaGa & Colby O'Donis","Just Dance","2008","20.459","7.556","7.743","9.112","0.625"
"Eiffel 65","Blue (Da Ba Dee)","1999","20.448","2.457","9.455","22.102","0.556"
"Petula Clark","Downtown","1965","20.447","13.274","7.504","7.632","0.537"
"Michael Jackson","Beat It","1983","20.326","9.948","7.076","15.068","0.625"
"The Human League","Don't You Want Me","1982","20.294","7.954","12.298","8.047","1.032"
"Rick Astley","Never Gonna Give You Up","1987","20.285","5.941","13.056","13.967","0.532"
"Londonbeat","I've Been Thinking About You","1990","20.269","5.181","5.25","20.615","1.715"
"The Kingston Trio","Tom Dooley","1958","20.203","9.107","5.025","7.256","0"
"Bing Crosby & The Andrews Sisters","Don't Fence Me In","1944","20.052","10.829","4.5","0.7","0.518"
"Berlin","Take My Breath Away","1986","20.034","10.779","6.962","11.114","1"
"Beyonce","Irreplaceable","2006","20.027","11.514","5.793","5.432","1.168"
"Nirvana","Smells Like Teen Spirit","1992","19.917","11.165","4.452","13.101","1.978"
"U2","Beautiful Day","2000","19.889","7.554","6.536","13.319","1.512"
"Dinah Shore","Buttons & Bows","1948","19.851","9.604","4.5","0.511","0.537"
"Avril Lavigne","Girlfriend","2007","19.834","5.823","6.5","7.091","3.548"
"George McCrae","Rock Your Baby","1974","19.799","7.486","7.858","15.027","0.566"
"Gloria Gaynor","I Will Survive","1979","19.727","15.035","8.966","7.601","0.667"
"Mariah Carey","Without You","1994","19.661","4.402","6.318","19.523","1.733"
"Abba","Waterloo","1974","19.544","6.399","7.007","17.425","0.01"
"Les Paul & Mary Ford","Vaya Con Dios (may God Be With You)","1953","19.525","12.568","2.843","1.51","0.7"
"Vanilla Ice","Ice Ice Baby","1990","19.487","5.516","7.969","13.922","1.114"
"Anton Karas","Third Man Theme","1950","19.48","9.078","5.25","1.591","0.543"
"Abba","Fernando","1976","19.47","3.434","13.096","16.465","0.01"
"R Kelly","I Believe I Can Fly","1997","19.448","7.863","5.902","11.573","1.037"
"Avril Lavigne","Complicated","2002","19.432","5.469","6.419","10.929","2.174"
"The Beatles","Penny Lane","1967","19.365","12.457","11.065","7.624","0.563"
"Eminem & Rihanna","Love The Way You Lie","2010","19.353","5.323","7","6.567","0"
"Adele","Rolling In The Deep","2011","19.322","11.236","3.2","5.2","0"
"Doris Day","Secret Love","1954","19.318","12.203","5.143","0.519","0.559"
"Olivia Newton-John","(Let's Get) Physical","1981","19.308","12.769","6.237","8.945","1"
"Boyz II Men","I'll Make Love to You","1994","19.291","9.544","5.825","4.404","3.077"
"Madonna & Justin Timberlake","Four Minutes","2008","19.271","4.056","6.567","14.355","0.532"
"Bryan Adams","Have You Ever Really Loved a Woman?","1995","19.25","6.098","5.25","13.99","1.375"
"MC Hammer","U Can't Touch This","1990","19.235","6.939","5.833","13.19","2.047"
"Gotye & Kimbra","Somebody That I Used to Know","2012","19.226","8.099","5.5","7","0"
"Starsound","Stars On 45","1981","19.173","5.947","10.1","15.311","0.511"
"Lipps Inc","Funkytown","1980","19.117","9.795","7.311","17.964","0"
"Nat King Cole","Too Young","1951","19.108","12.777","3","0.533","0.643"
"The Backstreet Boys","I Want it That Way","1999","19.096","5.536","4.313","16.374","2.156"
"Celine Dion","Because You Loved Me","1996","19.083","9.554","4.2","6.037","2.644"
"Falco","Rock Me Amadeus","1986","19.049","5.462","10.583","16.567","0.55"
"Bruno Mars","Grenade","2011","19.047","7.791","6.548","5.024","0"
"The Beach Boys","Good Vibrations","1966","19.003","17.434","10.12","7.098","0"
"Bee Gees","(The Lights Went Out In) Massachusetts","1967","19.002","2.507","8.763","11.38","2.573"
"Dionne Warwick & Friends","That's What Friends Are For","1986","19.002","13.248","7.205","4.223","0.6"
"The Animals","House of the Rising Sun","1964","18.968","14.982","8.021","5.414","0.591"
"Britney Spears","Toxic","2004","18.941","7.078","7.021","9.014","1.172"
"Cyndi Lauper","Girls Just Wanna Have Fun","1984","18.927","9.557","9.944","10.477","0.567"
"Pink","Get the Party Started","2002","18.895","5.607","6.536","10.53","1.652"
"Tennessee Ernie Ford","Sixteen Tons","1955","18.843","11.509","5.001","0.833","0.643"
"Mary Hopkin","Those Were the Days","1968","18.84","7.728","9.343","13.241","1.091"
"The Beatles","I Feel Fine","1964","18.837","9.813","10.826","6.671","0.563"
"Jo Stafford","You Belong to Me","1952","18.837","12.15","8.01","0","0"
"The Beatles","Paperback Writer","1966","18.833","10.522","10.084","8.331","0.51"
"Lynn Anderson","I Beg Your Pardon (I Never Promised You a Rose Garden)","1971","18.807","7.872","11.446","11.412","0.567"
"Tina Turner","What's Love Got to Do With It?","1984","18.807","11.845","8.455","7.417","0.519"
"Band Aid","Do They Know It's Christmas?","1984","18.791","3.756","13.638","17.771","0.526"
"The Rolling Stones","Honky Tonk Woman","1969","18.788","15.873","11.792","6.902","0.529"
"Mariah Carey & Boyz II Men","One Sweet Day","1995","18.785","9.143","5.197","4.631","1.89"
"Roberta Flack","Killing Me Softly With His Song","1973","18.705","14.307","9.852","3.926","0.667"
"Katy Perry","Hot 'n' cold","2008","18.641","5.29","3.913","15.778","0.556"
"TLC","Waterfalls","1995","18.631","10.17","3.395","7.423","1.231"
"Roxette","It Must Have Been Love","1990","18.611","5.633","5.962","13.79","2.099"
"Bee Gees","Tragedy","1979","18.607","6.83","11.831","14.576","0.625"
"The Beatles","A Hard Day's Night","1964","18.581","10.2","11.408","5.764","0.667"
"Los Lobos","La Bamba","1987","18.546","7.179","10.559","11.013","0.537"
"The Chordettes","Mister Sandman","1954","18.533","13.994","5.091","0","0.537"
"Rod Stewart","Maggie May","1971","18.501","16.306","11.747","3.692","0.611"
"Phil Collins","A Groovy Kind of Love","1988","18.476","5.102","8.969","13.01","1.156"
"Zager & Evans","In the Year 2525 (Exordium & Terminus)","1969","18.463","9.338","11.054","12.022","0.515"
"Mariah Carey","Fantasy","1995","18.463","6.451","6.292","5.932","2.653"
"George Michael","Faith","1987","18.455","9.446","7.398","10.878","0.526"
"Foreigner","I Want to Know What Love Is","1985","18.45","6.971","13.04","11.316","0.583"
"Elvis Presley","Heartbreak Hotel","1956","18.448","15.536","2.295","1.163","0.527"
"Beyonce & Shakira","Beautiful Liar","2007","18.439","3.876","5.52","13.973","1.417"
"Elvis Presley","Suspicious Minds","1969","18.423","14.456","14.57","5.653","0.522"
"Elton John","Crocodile Rock","1973","18.41","8.601","8.15","10.092","0.563"
"Madonna","Papa Don't Preach","1986","18.398","6.318","9.14","15.331","0.514"
"Toni Braxton","Un-Break My Heart","1996","18.373","6.78","2.925","13.176","2.628"
"The Black Eyed Peas","Shut Up","2003","18.372","1.283","6.563","19.524","0.7"
"Eric Clapton","Tears in Heaven","1992","18.351","10.959","5.705","5.546","2.096"
"Carly Simon","You're So Vain","1973","18.304","12.907","10.95","3.911","0.521"
"Will Smith","Men in Black","1997","18.295","2.299","8.069","15.25","1.85"
"Evanescence","Bring Me to Life","2003","18.276","5.543","4","13.237","1.687"
"Diana Ross & Lionel Richie","Endless Love","1981","18.254","15.366","6.435","3.865","0.7"
"David Bowie","Let's Dance","1983","18.247","7.122","9.042","19.881","0"
"Steve Miller Band","Abracadabra","1982","18.223","7.691","7.838","11.37","0.518"
"Wet Wet Wet","Love is All Around","1994","18.203","1.049","9.767","16.63","1.772"
"Akon","Lonely","2005","18.195","3.596","6.583","13.893","1.67"
"Michael Jackson","You Are Not Alone","1995","18.187","4.582","6.292","13.548","1.127"
"Christina Aguilera","Genie in a Bottle","1999","18.172","5.576","4.086","16.134","1.568"
"Everything But The Girl","Missing","1996","18.167","5.481","4.329","15.931","1.581"
"Savage Garden","Truly Madly Deeply","1998","18.137","6.905","7.155","7.552","1.709"
"The Mills Brothers","Paper Doll","1943","18.093","12.53","1","0.833","0.527"
"Bobby McFerrin","Don't Worry Be Happy","1988","18.052","7.135","5.45","13.346","1.086"
"Bee Gees","How Deep is Your Love?","1978","18.03","10.445","7.936","7.983","1.211"
"Alicia Keys","Fallin'","2001","18.018","8.103","2.854","12.664","1.074"
"Eamon","F**k it (I Don't Want You Back)","2004","18.002","2.895","7.034","16.264","0.52"
"Shaggy","Boombastic","1995","17.973","4.005","7.375","12.297","1.046"
"Patti Page","Tennessee Waltz","1950","17.91","13.969","3","0","0.53"
"Frankie Goes To Hollywood","Relax","1984","17.858","5.664","9.489","17.409","0.525"
"Lady GaGa","Bad Romance","2009","17.847","8.446","5.138","12.202","0.512"
"Elvis Presley","Hound Dog","1956","17.84","14.892","1.667","1.608","0.569"
"Madonna","Frozen","1998","17.789","4.579","2.777","16.705","2.544"
"Christina Aguilera","Beautiful","2003","17.777","5.364","8.027","7.084","1.03"
"Chumbawamba","Tubthumping","1997","17.766","4.324","9.488","7.384","1.583"
"Fats Domino","Blueberry Hill","1956","17.709","11.573","0.667","4.576","0.514"
"Elvis Presley & JXL","A Little Less Conversation","2002","17.674","1.821","10.029","10.992","1.355"
"Domenico Modugno","Volare","1958","17.67","9.719","4.467","3.029","0.7"
"Alicia Keys","No One","2007","17.632","8.353","2.288","10.207","2.067"
"Donna Summer","Hot Stuff","1979","17.619","13.075","6.301","9.29","0.512"
"The Pet Shop Boys","West End Girls","1986","17.615","7.704","9.557","8.252","1.034"
"The Bangles","Walk Like an Egyptian","1986","17.58","9.634","7.602","8.37","0.52"
"Mariah Carey","We Belong Together","2005","17.556","12.129","3.05","4.634","1.101"
"Daniel Powter","Bad Day","2005","17.539","8.848","3.067","6.194","3"
"Four Non Blondes","What's Up?","1993","17.509","4.108","4.101","20.505","1.811"
"Janet Jackson","That's the Way Love Goes","1993","17.495","7.304","6.625","4.269","2.86"
"Queen","Another One Bites the Dust","1980","17.481","13.778","4.996","7.758","0.536"
"Carly Rae Jepsen","Call Me Maybe","2012","17.47","7.746","6","4.444","0"
"J Geils Band","Centrefold","1982","17.428","11.247","7.919","4.18","0.529"
"Nelly Furtado & Timbaland","Promiscuous","2006","17.424","8.393","5.533","6.45","1.056"
"Patrick Hernandez","Born to Be Alive","1979","17.42","4.194","9.05","19.093","0.541"
"Culture Beat","Mr Vain","1993","17.419","2.897","6.343","18.788","1.577"
"U2","With Or Without You","1987","17.402","10.326","5.385","9.073","0.7"
"Rihanna","Don't Stop the Music","2007","17.375","4.751","3.333","16.677","0.523"
"Seal","Kiss From a Rose","1995","17.371","9.827","3.801","4.53","1.233"
"Bon Jovi","Always","1994","17.371","5.316","5.17","13.61","1.993"
"Bryan Adams","Please Forgive Me","1993","17.369","3.39","7.812","13.488","1.829"
"Pat Boone","Speedy Gonzales","1962","17.367","2.933","3.574","10.282","0.521"
"Tears For Fears","Shout","1985","17.367","6.413","9.384","14.432","0.516"
"Bonnie Tyler","Total Eclipse of the Heart","1983","17.336","6.371","13.251","7.796","0.521"
"Wham!","Wake Me Up Before You Go Go","1984","17.323","6.288","10.569","12.918","0.521"
"The Crew-Cuts","Sh-Boom (Life Could Be a Dream)","1954","17.31","10.118","3.479","1.894","0.577"
"Green Day","Boulevard of Broken Dreams","2005","17.287","11.558","1.228","6.804","1.836"
"The Beatles","Yellow Submarine","1966","17.238","8.079","12.502","9.292","0"
"Bill Medley & Jennifer Warnes","(I've Had) the Time of My Life","1987","17.236","8.922","8.671","6.182","0.833"
"Bon Jovi","Blaze of Glory","1990","17.195","7.778","5.688","8.17","1.732"
"Eminem","Stan","2000","17.191","3.681","6.735","18.894","0.556"
"The Platters","Smoke Gets in Your Eyes","1959","17.102","5.039","8.173","3.49","0.833"
"Lionel Richie","Say You, Say Me","1985","17.069","9.793","6.625","9.708","0.567"
"Mr Big","To Be With You","1992","17.051","5.049","6.479","15.805","1.777"
"Simon & Garfunkel","The Sounds of Silence","1966","17.033","15.006","3.628","3.873","2.778"
"Harry Nilsson","Without You","1972","17.013","10.74","13.849","2.942","0.611"
"Men At Work","Down Under","1982","16.988","6.966","12.542","8.854","0"
"Sheryl Crow","All I Wanna Do","1994","16.868","9.534","4.787","4.185","1.798"
"Rednex","Cotton Eye Joe","1994","16.865","3.825","4.926","17.256","1.623"
"The Rolling Stones","Jumpin' Jack Flash","1968","16.862","11.371","8.616","9.052","0.513"
"UB40","Red Red Wine","1983","16.839","6.226","11.768","6.742","1.214"
"Soft Cell","Tainted Love","1981","16.784","6.644","12.92","11.235","0"
"LeAnn Rimes","Can't Fight the Moonlight","2001","16.765","3.624","8.753","12.074","0.54"
"Shaggy & Ricardo 'RikRok' Ducent","It Wasn't Me","2001","16.758","3.911","6.571","13.399","1.214"
"Teresa Brewer","(Put Another Nickel In) Music! Music! Music!","1950","16.717","9.167","6","0","0.516"
"Dexys Midnight Runners","Come On Eileen","1982","16.688","6.615","14.106","6.842","0"
"Bruno Mars","Just the Way You Are","2010","16.663","6.355","6.625","3.025","0"
"Rocco Granata","Marina","1960","16.659","0.732","0.625","13.333","0.521"
"Jennifer Lopez","If You Had My Love","1999","16.642","4.814","5.809","11.46","1.706"
"David Guetta & Akon","Sexy Chick (sexy Bitch)","2009","16.638","4.751","7.75","11.323","0.511"
"Britney Spears","Oops!... I Did it Again","2000","16.598","3.751","6.538","15.445","1.356"
"Lady GaGa","Born This Way","2011","16.597","4.247","5.958","6.532","0"
"N Sync","Bye, Bye, Bye","2000","16.476","5.865","6.533","9.227","1.595"
"Donna Summer","I Feel Love","1977","16.47","9.033","7.192","13.933","0"
"Lionel Richie","All Night Long (All Night)","1983","16.446","7.349","8.712","9.561","0.553"
"Dido","White Flag","2003","16.446","3.606","4","15.953","0.625"
"Les Brown & Doris Day","Sentimental Journey","1945","16.44","13.594","0","0.527","0.523"
"The Byrds","Mr Tambourine Man","1965","16.42","13.395","5.674","4.691","0.525"
"Gerry Rafferty","Baker Street","1978","16.406","7.148","10.014","8.966","0.526"
"Jennifer Lopez & Pitbull","On The Floor","2011","16.404","4.674","5.1","6.75","0"
"Elvis Presley","All Shook Up","1957","16.347","9.971","5.649","1.626","0.01"
"The Beatles","Ticket to Ride","1965","16.319","9.967","8.835","6.603","0"
"Natalie Imbruglia","Torn","1998","16.312","3.885","4.949","13.166","1.984"
"REM","Losing My Religion","1991","16.295","11.668","2.123","10.304","1.597"
"Haddaway","What is Love?","1993","16.286","4.828","3.751","18.7","1.055"
"Scott McKenzie","San Francisco (Wear Some Flowers in Your Hair)","1967","16.28","4.381","8.56","10.287","0.587"
"The Andrews Sisters","Rum & Coca-Cola","1945","16.279","10.31","1.5","0.667","0.553"
"U2","I Still Haven't Found What I'm Looking For","1987","16.269","11.519","4.399","5.642","0.6"
"Roxette","Joyride","1991","16.258","4.152","4.327","19.31","2.591"
"Billy Swan","I Can Help","1975","16.254","7.666","6.955","15.375","0"
"Robert Miles","Children","1996","16.253","2.293","3.544","21.46","1.187"
"The Goo Goo Dolls","Iris","1998","16.252","7.562","5.544","6.031","1.129"
"Shaggy","Angel","2001","16.22","3.852","5.752","15.536","0.556"
"Nelly Furtado","Say It Right","2007","16.215","6.835","2.64","12.639","0.538"
"Otis Redding","(Sittin' On) the Dock of the Bay","1968","16.211","18.351","4.305","5.387","0.52"
"Sam The Sham & The Pharaohs","Wooly Bully","1965","16.177","15.326","1.591","6.491","0.522"
"Elvis Presley","Don't Be Cruel","1956","16.15","14.351","0.542","1.641","0.553"
"Kris Kross","Jump","1992","16.142","6.275","6.067","10.962","1.799"
"Abba","SOS","1975","16.122","3.441","9.031","11.629","1.033"
"OutKast","Ms Jackson","2001","16.11","6.091","2.071","16.179","0.55"
"Bonnie Tyler","It's a Heartache","1978","16.089","5.3","9.004","12.168","0.513"
"The Rolling Stones","Paint it Black","1966","16.055","11.702","7.758","8.531","0"
"The Everly Brothers","Cathy's Clown","1960","16.05","9.107","5.174","3.31","0.52"
"Katy Perry & Snoop Dogg","California Gurls","2010","16.049","5.828","6.7","2.905","0"
